market_id,market_question,event_question,series_title,series_category,market_result,volume_fp,outcome,probability_field,horizon_days,forecast_date_utc,days_before_close,forecast_probability,squared_error,absolute_error,forecast_correct,volume_rank,lifetime_days,observed_days
kalshi:KXHORMUZNORM-26MAR17-B260801,"Will the 7-day moving average of transit calls through the Strait of Hormuz as reported by the IMF PortWatch be above 60 before August 1, 2026?",When will traffic at the Strait of Hormuz return to normal?,When will traffic at the Strait of Hormuz return to normal?,Politics,no,5302869.62,0,price_mean,1,2026-08-03 00:00:00+00:00,1,0.01,0.0001,0.01,True,19,112.5826388888889,113
kalshi:KXLEAVEWALZ-27JAN01-TWAL-26JUL01,Will Tim Walz leave the governorship of Minnesota after Issuance and before July 2026?,Tim Walz out as Governor of Minnesota?,Tim Walz out as Governor of Minnesota?,Politics,no,2042154.96,0,price_mean,1,2026-06-30 00:00:00+00:00,1,0.0025,6.25e-06,0.0025,True,35,181.99622685185184,182
kalshi:KXLIUSACOUPLE-26AUG31-ANCAR,Will Aniya and Carl win Love Island USA Season 8?,Love Island USA S8: Winning couple,which couple will win love island usa,Entertainment,no,4955634.0,0,price_mean,1,2026-07-12 00:00:00+00:00,1,0.0586,0.00343396,0.0586,True,21,19.45489583333333,19
kalshi:KXLIUSACOUPLE-26AUG31-KAZA,Will Kayda and Zach win Love Island USA Season 8?,Love Island USA S8: Winning couple,which couple will win love island usa,Entertainment,no,1445607.33,0,price_mean,1,2026-07-12 00:00:00+00:00,1,0.0161,0.00025921,0.0161,True,50,39.485532407407405,39
kalshi:KXLIUSACOUPLE-26AUG31-MESI,Will Melanie and Sincere win Love Island USA Season 8?,Love Island USA S8: Winning couple,which couple will win love island usa,Entertainment,no,2616535.03,0,price_mean,1,2026-07-12 00:00:00+00:00,1,0.0482,0.00232324,0.0482,True,30,45.05653935185185,45
kalshi:KXLIUSACOUPLE-26AUG31-TRBR,Will Trinity and Bryce win Love Island USA Season 8?,Love Island USA S8: Winning couple,which couple will win love island usa,Entertainment,yes,2986198.8,1,price_mean,1,2026-07-12 00:00:00+00:00,1,0.887,0.012768999999999997,0.11299999999999999,True,26,45.05653935185185,45
kalshi:KXMARRIAGESWIFTKELCE-26,Will Taylor Swift and Travis Kelce be married in 2026?,Taylor Swift and Travis Kelce: Married in 2026?,Swift Kelce married,Entertainment,yes,1645745.84,1,price_mean,1,2026-07-06 00:00:00+00:00,1,0.99,0.00010000000000000018,0.010000000000000009,True,43,314.2187152777778,314
kalshi:KXMI13D-26-DMCK,Will Donavan McKinney be the Democratic nominee for MI-13?,MI-13 Democratic nominee?,MI-13 Democratic nominee,Elections,yes,1647332.36,1,price_mean,1,2026-08-04 00:00:00+00:00,1,0.8586,0.01999395999999999,0.14139999999999997,True,42,217.9626273148148,177
kalshi:KXMI13D-26-STHA,Will Shri Thanedar be the Democratic nominee for MI-13?,MI-13 Democratic nominee?,MI-13 Democratic nominee,Elections,no,1650232.06,0,price_mean,1,2026-08-04 00:00:00+00:00,1,0.1426,0.02033476,0.1426,True,41,217.9626273148148,200
kalshi:KXMJSCHEDULE-26JUL,When will marijuana be rescheduled?,Will marijuana be rescheduled?,MJ schedule,Politics,no,1634305.03,0,price_mean,1,2026-06-30 00:00:00+00:00,1,0.0024,5.759999999999999e-06,0.0024,True,44,195.41597222222225,195
kalshi:KXNEXTAG-29-TBLA,Who will be Trump's next Attorney General?,Who will be Trump's next Attorney General?,Next AG,Politics,yes,3713983.8,1,price_mean,1,2026-08-07 00:00:00+00:00,1,0.9467,0.0028408900000000013,0.053300000000000014,True,23,128.27666666666667,128
kalshi:KXPERUPRES-26-KFUJ,Who will win the next Peruvian presidential election?,Peru Presidential election winner?,Peru Presidency,Elections,yes,3010684.54,1,price_mean,1,2026-07-02 00:00:00+00:00,1,0.9957,1.8489999999999747e-05,0.0042999999999999705,True,25,352.22788194444445,351
kalshi:KXPERUPRES-26-RPAL,Will Roberto Sánchez Palomino win the next Peruvian presidential election?,Peru Presidential election winner?,Peru Presidency,Elections,no,5279251.45,0,price_mean,1,2026-07-02 00:00:00+00:00,1,0.0034,1.156e-05,0.0034,True,20,161.8945486111111,156
kalshi:KXPLATNERDROPOUT-26,"Will Graham Platner drop out of the 2026 United States Senate election in Maine before Jul 14, 2026?",Will Graham Platner drop out?,Graham platner drop out,Elections,yes,5462806.48,1,price_mean,1,2026-07-08 00:00:00+00:00,1,0.9339,0.004369210000000006,0.06610000000000005,True,18,37.345046296296296,37
kalshi:KXRT-ODY-95,The Odyssey Rotten Tomatoes score?,The Odyssey: Rotten Tomatoes score,Rotten Tomatoes Scores,Entertainment,no,1862536.6,0,price_mean,1,2026-07-19 00:00:00+00:00,1,0.0524,0.0027457600000000003,0.0524,True,36,13.625,14
kalshi:KXRT-SPI-90,Spider-Man: Brand New Day Rotten Tomatoes score?,Spider-Man: Brand New Day: Rotten Tomatoes score,Rotten Tomatoes Scores,Entertainment,no,2231936.34,0,price_mean,1,2026-08-02 00:00:00+00:00,1,0.0762,0.00580644,0.0762,True,32,108.875,109
kalshi:KXRT-SPI-91,Spider-Man: Brand New Day Rotten Tomatoes score?,Spider-Man: Brand New Day: Rotten Tomatoes score,Rotten Tomatoes Scores,Entertainment,no,1670022.42,0,price_mean,1,2026-08-02 00:00:00+00:00,1,0.0225,0.00050625,0.0225,True,40,5.75,6
kalshi:KXRT-SPI-92,Spider-Man: Brand New Day Rotten Tomatoes score?,Spider-Man: Brand New Day: Rotten Tomatoes score,Rotten Tomatoes Scores,Entertainment,no,1623910.07,0,price_mean,1,2026-08-02 00:00:00+00:00,1,0.0117,0.00013689,0.0117,True,45,11.75,12
kalshi:KXSCRSENS-26-RFRY,Who will win the 2026 South Carolina Republican Senate special primary?,South Carolina Republican Senate special primary winner?,South Carolina Special Republican primary,Elections,no,1502711.08,0,price_mean,1,2026-08-11 00:00:00+00:00,1,0.2397,0.05745609,0.2397,True,48,30.316979166666663,30
kalshi:KXSENATEMID-26-AELS,Will Abdul El-Sayed be the Democratic nominee for the Senate in Michigan?,Michigan Democratic Senate nominee?,MID,Elections,yes,9935560.26,1,price_mean,1,2026-08-04 00:00:00+00:00,1,0.9761,0.0005712100000000016,0.023900000000000032,True,9,495.0018287037037,474
kalshi:KXSENATEMID-26-HSTE,Will Haley Stevens be the Democratic nominee for the Senate in Michigan?,Michigan Democratic Senate nominee?,MID,Elections,no,20543911.96,0,price_mean,1,2026-08-04 00:00:00+00:00,1,0.0205,0.00042025000000000005,0.0205,True,3,495.0018287037037,476
kalshi:KXSWIFTKELCEWEDDINGLOCATION-30-NEW,Where will Taylor Swift and Travis Kelce’s Wedding occur?,Taylor Swift and Travis Kelce: Wedding location,WHERE WILL TAYLOR SWIFT GET MARRIED,Entertainment,yes,1782184.99,1,price_mean,1,2026-07-03 00:00:00+00:00,1,0.6829,0.10055241000000004,0.31710000000000005,True,37,269.4635416666667,269
kalshi:KXTOPALBUMRECORD-ICE-DRA-4,How many straight weeks will 'ICEMAN' be #1?,Iceman: Consecutive weeks at #1,Album record,Entertainment,no,7848673.84,0,price_mean,1,2026-06-22 00:00:00+00:00,1,0.0138,0.00019044,0.0138,True,12,61.97693287037037,62
kalshi:KXTRUMPATTEND,Will Donald J. Trump attend The 2026 FIFA World Cup Final?,Will Trump attend The World Cup Final?,Will Trump attend event,Politics,yes,9726106.38,1,price_mean,1,2026-07-18 00:00:00+00:00,1,0.9645,0.0012602499999999984,0.035499999999999976,True,10,191.17087962962964,191
kalshi:KXTRUMPOUT27-27-26AUG01,"Will Donald Trump leave office before August 1, 2026?",Donald Trump announces departure as President? (Excluding death),Trump out as President?,Politics,no,3761100.22,0,price_mean,1,2026-07-27 00:00:00+00:00,5,0.003,9e-06,0.003,True,22,170.54166666666666,169
kalshi:KXTRUMPUFC-26JUL-DJT,Will Donald Trump attend UFC 329?,Will Donald Trump attend UFC 329?,Trump attend another UFC event this year,Politics,no,13117291.59,0,price_mean,1,2026-07-11 00:00:00+00:00,1,0.0312,0.0009734399999999999,0.0312,True,6,64.41666666666667,64
kalshi:KXUSAIRANAGREEMENT-27-26AUG,Will the US agree to a new Iranian nuclear deal before August?,US-Iran nuclear deal?,US Iran nuclear deal,Politics,no,2813334.26,0,price_mean,1,2026-07-31 00:00:00+00:00,1,0.0021,4.409999999999999e-06,0.0021,True,28,177.45833333333334,178
kalshi:KXUSAIRANAGREEMENT-27-26JUL,Will the US agree to a new Iranian nuclear deal this year?,US-Iran nuclear deal?,US Iran nuclear deal,Politics,no,5649545.21,0,price_mean,1,2026-06-30 00:00:00+00:00,1,0.01,0.0001,0.01,True,17,83.0,83
kalshi:KXVOTEPRIMARY-MAYORLA26SPRA-65,Will Spencer Pratt receive at least 30% of the popular vote in the first round of the 2026 Los Angeles mayoral election?,Los Angeles mayoral election: Spencer Pratt vote percent (1st round),Vote percentages in primaries,Elections,no,2712847.51,0,price_mean,1,2026-06-26 00:00:00+00:00,1,0.01,0.0001,0.01,True,29,43.72025462962963,44
kalshi:KXVOTEPRIMARY-MAYORLA26SPRA-75,Will Spencer Pratt receive at least 50% of the popular vote in the first round of the 2026 Los Angeles mayoral election?,Los Angeles mayoral election: Spencer Pratt vote percent (1st round),Vote percentages in primaries,Elections,no,1570112.24,0,price_mean,1,2026-06-26 00:00:00+00:00,1,0.01,0.0001,0.01,True,47,35.928587962962965,36
