market_id,volume_rank,market_ticker,event_ticker,series_ticker,market_question,market_subtitle,yes_subtitle,no_subtitle,market_rules,event_question,event_subtitle,series_title,series_category,series_frequency,market_status,market_result,open_time,close_time,passes_volume_filter,passes_lifetime_filter,passes_both_filters,volume_fp,lifetime_days,history_start_ts,history_end_ts,expected_daily_rows,received_daily_rows,first_observation_ts,last_observation_ts,download_status,actual_candles_exported,candle_rows,observed_days,price_close_days,quote_mid_days,total_daily_volume,max_open_interest,mean_quote_spread,first_observation,last_observation,last_price_close,last_quote_mid,outcome,candle_coverage_pct,quote_coverage_pct
kalshi:KXHORMUZNORM-26MAR17-B260701,11,KXHORMUZNORM-26MAR17-B260701,KXHORMUZNORM-26MAR17,KXHORMUZNORM,"Will the 7-day moving average of transit calls through the Strait of Hormuz as reported by the IMF PortWatch be above 60 before July 1, 2026?",,"Before Jul 1, 2026","Before Jul 1, 2026","If the 7-day moving average of transit calls through the Strait of Hormuz as reported by the IMF PortWatch is above 60 before July 1, 2026, then the market resolves to Yes.",When will traffic at the Strait of Hormuz return to normal?,Transit calls,When will traffic at the Strait of Hormuz return to normal?,Politics,one_off,finalized,no,2026-03-17 14:00:00+00:00,2026-07-07 13:59:00+00:00,1,1,1,8832948.43,111.99930555555557,1773756000,1783432740,113,112,1773806400.0,1783396800.0,success,112,112,112,112,112,8831988.41,2412433.72,0.015125,2026-03-18 00:00:00+00:00,2026-07-07 00:00:00+00:00,0.001,0.0005,0,99.11504424778761,100.0
kalshi:KXTOPALBUMRECORD-ICE-DRA-4,12,KXTOPALBUMRECORD-ICE-DRA-4,KXTOPALBUMRECORD-ICE-DRA,KXTOPALBUMRECORD,How many straight weeks will 'ICEMAN' be #1?,More than 4 weeks,More than 4 weeks,More than 4 weeks,"If ICEMAN by Drake has had the #1 spot on the Billboard 200 for more than 4 consecutive weeks, then the market resolves to Yes.",Iceman: Consecutive weeks at #1,ICEMAN,Album record,Entertainment,custom,finalized,no,2026-04-22 14:00:00+00:00,2026-06-23 13:26:47+00:00,1,1,1,7848673.84,61.97693287037037,1776866400,1782221207,63,62,1776916800.0,1782187200.0,success,62,62,62,59,62,7749954.42,4618789.55,0.025161290322580646,2026-04-23 00:00:00+00:00,2026-06-23 00:00:00+00:00,0.01,0.005,0,98.41269841269842,100.0
kalshi:KXFEDDECISION-26JUL-C25,13,KXFEDDECISION-26JUL-C25,KXFEDDECISION-26JUL,KXFEDDECISION,Will the Federal Reserve Cut rates by 25bps at their July 2026 meeting?,Cut 25bps,Cut 25bps,Cut 25bps,"If the Federal Reserve does a Cut of 25bps on July 29, 2026, then the market resolves to Yes.",Fed decision in July?,"On Jul 29, 2026",Fed meeting,Economics,custom,finalized,no,2025-09-29 14:00:00+00:00,2026-07-29 17:59:00+00:00,1,1,1,7276758.07,303.1659722222222,1759154400,1785347940,305,293,1759204800.0,1785297600.0,success,293,293,293,138,293,6380527.88,5248914.75,0.05447098976109215,2025-09-30 00:00:00+00:00,2026-07-29 00:00:00+00:00,0.01,0.005,0,96.06557377049181,100.0
kalshi:KXGOVWINOMD-26-FHON,14,KXGOVWINOMD-26-FHON,KXGOVWINOMD-26,KXGOVWINOMD,Will Francesca Hong be the Democratic nominee for Governor in Wisconsin?,,Francesca Hong,Francesca Hong,"If Francesca Hong wins the nomination for the Democratic Party to contest the 2026 Wisconsin Governorship, then the market resolves to Yes.",Wisconsin Democratic Governor nominee?,In 2026,Gov WI Nom D,Elections,one_off,finalized,no,2025-10-07 14:00:50+00:00,2026-08-12 11:18:25+00:00,1,1,1,7274077.96,308.88721064814814,1759845650,1786533505,310,308,1759896000.0,1786507200.0,success,308,308,308,210,308,5153841.45,1455355.37,0.03441558441558441,2025-10-08 00:00:00+00:00,2026-08-12 00:00:00+00:00,0.25,0.245,0,99.35483870967742,100.0
kalshi:KXGOVWINOMD-26-DCRO,15,KXGOVWINOMD-26-DCRO,KXGOVWINOMD-26,KXGOVWINOMD,Will David Crowley be the Democratic nominee for Governor in Wisconsin?,,David Crowley,David Crowley,"If David Crowley wins the nomination for the Democratic Party to contest the 2026 Wisconsin Governorship, then the market resolves to Yes.",Wisconsin Democratic Governor nominee?,In 2026,Gov WI Nom D,Elections,one_off,finalized,yes,2025-10-07 14:00:17+00:00,2026-08-12 11:18:25+00:00,1,1,1,7116046.89,308.88759259259257,1759845617,1786533505,310,301,1759896000.0,1786507200.0,success,301,301,301,140,301,5033041.04,1504969.44,0.03566777408637874,2025-10-08 00:00:00+00:00,2026-08-12 00:00:00+00:00,0.77,0.765,1,97.09677419354838,100.0
kalshi:KXCAGOVPRIMARY1ST-26JUN02-1ST-SHIL,16,KXCAGOVPRIMARY1ST-26JUN02-1ST-SHIL,KXCAGOVPRIMARY1ST-26JUN02-1ST,KXCAGOVPRIMARY1ST,Will Steve Hilton finish 1st in the 2026 California Governor primary election?,:: Republican,Steve Hilton,Steve Hilton,"If Steve Hilton finishes in 1st place in the 2026 California Governor primary election, then the market resolves to Yes.",California Governor primary: 1st place,"On Jun 2, 2026",Who will finish first in the California Governor primary?,Elections,one_off,finalized,no,2026-02-04 23:00:00+00:00,2026-07-11 00:09:53+00:00,1,1,1,7097451.77,156.0485300925926,1770246000,1783728593,158,155,1770267600.0,1783656000.0,success,155,155,155,131,155,6669928.36,4305932.09,0.028929032258064515,2026-02-05 00:00:00+00:00,2026-07-10 00:00:00+00:00,0.003,0.002,0,98.10126582278481,100.0
kalshi:KXUSAIRANAGREEMENT-27-26JUL,17,KXUSAIRANAGREEMENT-27-26JUL,KXUSAIRANAGREEMENT-27,KXUSAIRANAGREEMENT,Will the US agree to a new Iranian nuclear deal this year?,Before July,"Before Jul 1, 2026","Before Jul 1, 2026","If the United States has agreed to, signed, or accepted a new Iran-US nuclear deal before Jul 1, 2026, then the market resolves to Yes.",US-Iran nuclear deal?,In 2026,US Iran nuclear deal,Politics,custom,finalized,no,2026-04-09 14:00:00+00:00,2026-07-01 14:00:00+00:00,1,1,1,5649545.21,83.0,1775743200,1782914400,84,83,1775793600.0,1782878400.0,success,83,83,83,83,83,5649404.9399999995,1294614.91,0.012771084337349399,2026-04-10 00:00:00+00:00,2026-07-01 00:00:00+00:00,0.01,0.005,0,98.80952380952381,100.0
kalshi:KXPLATNERDROPOUT-26,18,KXPLATNERDROPOUT-26,KXPLATNERDROPOUT-26,KXPLATNERDROPOUT,"Will Graham Platner drop out of the 2026 United States Senate election in Maine before Jul 14, 2026?",X:: Before Tuesday,"Before Jul 14, 2026","Before Jul 14, 2026","If Graham Platner drops out of the 2026 United States Senate election in Maine before Jul 14, 2026, then the market resolves to Yes.",Will Graham Platner drop out?,"Before Jul 14, 2026",Graham platner drop out,Elections,one_off,finalized,yes,2026-06-01 16:15:00+00:00,2026-07-09 00:31:52+00:00,1,1,1,5462806.48,37.345046296296296,1780330500,1783557112,39,37,1780372800.0,1783483200.0,success,37,37,37,37,37,4122487.0700000003,1493190.31,0.008243243243243242,2026-06-02 00:00:00+00:00,2026-07-08 00:00:00+00:00,0.916,0.9165000000000001,1,94.87179487179488,100.0
kalshi:KXHORMUZNORM-26MAR17-B260801,19,KXHORMUZNORM-26MAR17-B260801,KXHORMUZNORM-26MAR17,KXHORMUZNORM,"Will the 7-day moving average of transit calls through the Strait of Hormuz as reported by the IMF PortWatch be above 60 before August 1, 2026?",,"Before Aug 1, 2026","Before Aug 1, 2026","If the 7-day moving average of transit calls through the Strait of Hormuz as reported by the IMF PortWatch is above 60 before August 1, 2026, then the market resolves to Yes.",When will traffic at the Strait of Hormuz return to normal?,Transit calls,When will traffic at the Strait of Hormuz return to normal?,Politics,one_off,finalized,no,2026-04-14 00:00:00+00:00,2026-08-04 13:59:00+00:00,1,1,1,5302869.62,112.5826388888889,1776124800,1785851940,114,113,1776139200.0,1785816000.0,success,113,113,113,113,113,5289725.22,1276182.11,0.013893805309734514,2026-04-14 00:00:00+00:00,2026-08-04 00:00:00+00:00,0.01,0.005,0,99.12280701754386,100.0
kalshi:KXPERUPRES-26-RPAL,20,KXPERUPRES-26-RPAL,KXPERUPRES-26,KXPERUPRES,Will Roberto Sánchez Palomino win the next Peruvian presidential election?,Roberto Sánchez Palomino:: Together for Peru,Roberto Sánchez,Roberto Sánchez,"If the winner of the next Peruvian presidential election is Roberto Sánchez Palomino, then the market resolves to Yes.",Peru Presidential election winner?,In 2026,Peru Presidency,Elections,one_off,finalized,no,2026-01-22 22:00:00+00:00,2026-07-03 19:28:09+00:00,1,1,1,5279251.45,161.8945486111111,1769119200,1783106889,163,156,1769144400.0,1783051200.0,success,156,156,156,114,156,5259518.12,2081100.74,0.03075,2026-01-23 00:00:00+00:00,2026-07-03 00:00:00+00:00,0.004,0.0025,0,95.70552147239263,100.0
kalshi:KXLIUSACOUPLE-26AUG31-ANCAR,21,KXLIUSACOUPLE-26AUG31-ANCAR,KXLIUSACOUPLE-26AUG31,KXLIUSACOUPLE,Will Aniya and Carl win Love Island USA Season 8?,,Aniya and Carl,Aniya and Carl,"If Aniya and Carl are officially declared the winner of Love Island USA Season 8, then the market resolves to Yes.",Love Island USA S8: Winning couple,Love Island USA Season 8,which couple will win love island usa,Entertainment,one_off,finalized,no,2026-06-23 15:51:28+00:00,2026-07-13 02:46:31+00:00,1,1,1,4955634.0,19.45489583333333,1782229888,1783910791,21,19,1782273600.0,1783828800.0,success,19,19,19,19,19,1360610.8900000001,849252.87,0.01368421052631579,2026-06-24 00:00:00+00:00,2026-07-12 00:00:00+00:00,0.05,0.055,0,90.47619047619048,100.0
kalshi:KXTRUMPOUT27-27-26AUG01,22,KXTRUMPOUT27-27-26AUG01,KXTRUMPOUT27-27,KXTRUMPOUT27,"Will Donald Trump leave office before August 1, 2026?",,"Before August 1, 2026","Before August 1, 2026","If Donald Trump leaves office before August 1, 2026, then the market resolves to Yes.",Donald Trump announces departure as President? (Excluding death),Before 2027,Trump out as President?,Politics,one_off,finalized,no,2026-02-12 01:00:00+00:00,2026-08-01 14:00:00+00:00,1,1,1,3761100.22,170.54166666666666,1770858000,1785592800,172,169,1770872400.0,1785384000.0,success,169,169,169,165,169,3761100.22,2362018.66,0.005899408284023668,2026-02-12 00:00:00+00:00,2026-07-30 00:00:00+00:00,0.003,0.0005,0,98.25581395348837,100.0
kalshi:KXNEXTAG-29-TBLA,23,KXNEXTAG-29-TBLA,KXNEXTAG-29,KXNEXTAG,Who will be Trump's next Attorney General?,,Todd Blanche,Todd Blanche,"If the first new person to be Attorney General is Todd Blanche before Jan 20, 2029, then the market resolves to Yes.",Who will be Trump's next Attorney General?,"Before January 20th, 2029",Next AG,Politics,one_off,finalized,yes,2026-04-02 17:10:00+00:00,2026-08-08 23:48:24+00:00,1,1,1,3713983.8,128.27666666666667,1775149800,1786232904,130,128,1775188800.0,1786161600.0,success,128,128,128,128,128,3634325.55,676979.32,0.012023437500000005,2026-04-03 00:00:00+00:00,2026-08-08 00:00:00+00:00,0.983,0.9844999999999999,1,98.46153846153847,100.0
kalshi:KXALIENS-27-JUL26,24,KXALIENS-27-JUL26,KXALIENS-27,KXALIENS,Will the U.S. confirm that aliens exist before July 2026,,Before July,Before July,"If the President, any member of the Cabinet, any member of the Joint Chiefs of Staff, or any US federal agency definitively states that extraterrestrial life or technology exists before Jul 1, 2026, then the market resolves to Yes.",Will the U.S. confirm that aliens exist?,Before 2027,Aliens,Science and Technology,annual,finalized,no,2026-05-12 20:00:00+00:00,2026-07-01 14:00:00+00:00,1,1,1,3153286.89,49.75,1778616000,1782914400,51,50,1778644800.0,1782878400.0,success,50,50,50,50,50,3153286.89,2571079.81,0.0102,2026-05-13 00:00:00+00:00,2026-07-01 00:00:00+00:00,0.01,0.005,0,98.03921568627452,100.0
kalshi:KXPERUPRES-26-KFUJ,25,KXPERUPRES-26-KFUJ,KXPERUPRES-26,KXPERUPRES,Who will win the next Peruvian presidential election?,Keiko Fujimori:: Fuerza Popular,Keiko Fujimori,Keiko Fujimori,"If the winner of the next Peruvian presidential election is Keiko Fujimori, then the market resolves to Yes.",Peru Presidential election winner?,In 2026,Peru Presidency,Elections,one_off,finalized,yes,2025-07-16 14:00:00+00:00,2026-07-03 19:28:09+00:00,1,1,1,3010684.54,352.22788194444445,1752674400,1783106889,354,351,1752724800.0,1783051200.0,success,351,351,351,169,351,3000260.75,859566.21,0.054005698005698016,2025-07-17 00:00:00+00:00,2026-07-03 00:00:00+00:00,0.998,0.9975,1,99.15254237288136,100.0
kalshi:KXLIUSACOUPLE-26AUG31-TRBR,26,KXLIUSACOUPLE-26AUG31-TRBR,KXLIUSACOUPLE-26AUG31,KXLIUSACOUPLE,Will Trinity and Bryce win Love Island USA Season 8?,Trinity and Bryce,Trinity and Bryce,Trinity and Bryce,"If Trinity and Bryce are officially declared the winner of Love Island USA Season 8, then the market resolves to Yes.",Love Island USA S8: Winning couple,Love Island USA Season 8,which couple will win love island usa,Entertainment,one_off,finalized,yes,2026-05-29 01:25:06+00:00,2026-07-13 02:46:31+00:00,1,1,1,2986198.8,45.05653935185185,1780017906,1783910791,47,45,1780027200.0,1783828800.0,success,45,45,45,39,45,1617048.69,944952.54,0.09911111111111111,2026-05-29 00:00:00+00:00,2026-07-12 00:00:00+00:00,0.9,0.905,1,95.74468085106383,100.0
kalshi:KXGOVFLNOMR-26-PREN,27,KXGOVFLNOMR-26-PREN,KXGOVFLNOMR-26,KXGOVFLNOMR,Will Paul Renner be the Republican nominee for Governor in Florida?,,Paul Renner,Paul Renner,"If Paul Renner wins the nomination for the Republican Party to contest the 2026 Florida Governorship, then the market resolves to Yes.",Florida Republican Governor nominee?,In 2026,Florida Governor Republican nominee,Elections,custom,finalized,no,2026-02-09 18:00:00+00:00,2026-08-19 00:07:41+00:00,1,1,1,2984895.68,190.25533564814816,1770660000,1787098061,192,162,1770699600.0,1787025600.0,success,162,162,162,90,162,2815881.4699999997,2592451.64,0.005623456790123457,2026-02-10 00:00:00+00:00,2026-08-18 00:00:00+00:00,0.001,0.0005,0,84.375,100.0
kalshi:KXUSAIRANAGREEMENT-27-26AUG,28,KXUSAIRANAGREEMENT-27-26AUG,KXUSAIRANAGREEMENT-27,KXUSAIRANAGREEMENT,Will the US agree to a new Iranian nuclear deal before August?,Before August,"Before Aug 1, 2026","Before Aug 1, 2026","If the United States has agreed to, signed, or accepted a new Iran-US nuclear deal before Aug 1, 2026, then the market resolves to Yes.",US-Iran nuclear deal?,In 2026,US Iran nuclear deal,Politics,custom,finalized,no,2026-02-05 03:00:00+00:00,2026-08-01 14:00:00+00:00,1,1,1,2813334.26,177.45833333333334,1770260400,1785592800,179,178,1770267600.0,1785556800.0,success,178,178,178,177,178,2813334.26,1102051.28,0.02160674157303371,2026-02-05 00:00:00+00:00,2026-08-01 00:00:00+00:00,0.001,0.0005,0,99.44134078212291,100.0
kalshi:KXVOTEPRIMARY-MAYORLA26SPRA-65,29,KXVOTEPRIMARY-MAYORLA26SPRA-65,KXVOTEPRIMARY-MAYORLA26SPRA,KXVOTEPRIMARY,Will Spencer Pratt receive at least 30% of the popular vote in the first round of the 2026 Los Angeles mayoral election?,,At least 30%,At least 30%,"If the certified percentage of the popular vote received by Spencer Pratt in the first round of the 2026 Los Angeles mayoral election is 30% to 100%, inclusive of both endpoints, then the market resolves to Yes.",Los Angeles mayoral election: Spencer Pratt vote percent (1st round),Vote Percent - Spencer Pratt,Vote percentages in primaries,Elections,one_off,finalized,no,2026-05-14 22:00:00+00:00,2026-06-27 15:17:10+00:00,1,1,1,2712847.51,43.72025462962963,1778796000,1782573430,45,44,1778817600.0,1782532800.0,success,44,44,44,42,44,2708020.51,1374982.62,0.030681818181818185,2026-05-15 00:00:00+00:00,2026-06-27 00:00:00+00:00,0.01,0.005,0,97.77777777777777,100.0
kalshi:KXLIUSACOUPLE-26AUG31-MESI,30,KXLIUSACOUPLE-26AUG31-MESI,KXLIUSACOUPLE-26AUG31,KXLIUSACOUPLE,Will Melanie and Sincere win Love Island USA Season 8?,Melanie and Sincere,Melanie and Sincere,Melanie and Sincere,"If Melanie and Sincere are officially declared the winner of Love Island USA Season 8, then the market resolves to Yes.",Love Island USA S8: Winning couple,Love Island USA Season 8,which couple will win love island usa,Entertainment,one_off,finalized,no,2026-05-29 01:25:06+00:00,2026-07-13 02:46:31+00:00,1,1,1,2616535.03,45.05653935185185,1780017906,1783910791,47,45,1780027200.0,1783828800.0,success,45,45,45,40,45,1289044.77,840342.44,0.08666666666666667,2026-05-29 00:00:00+00:00,2026-07-12 00:00:00+00:00,0.04,0.035,0,95.74468085106383,100.0
kalshi:KXPLATNERDROPOUT-26-JUL9,31,KXPLATNERDROPOUT-26-JUL9,KXPLATNERDROPOUT-26,KXPLATNERDROPOUT,"Will drop out of the 2026 United States Senate election in Maine before Jul 9, 2026?","Before Jul 9, 2026:: Before Thursday","Before Jul 9, 2026","Before Jul 9, 2026","If Graham Platner drops out of the 2026 United States Senate election in Maine before Jul 9, 2026, then the market resolves to Yes.",Will Graham Platner drop out?,"Before Jul 14, 2026",Graham platner drop out,Elections,one_off,finalized,yes,2026-07-06 19:12:00+00:00,2026-07-09 00:31:52+00:00,1,0,0,2360956.06,2.2221296296296296,1783365120,1783557112,4,2,1783396800.0,1783483200.0,success,2,2,2,2,2,277053.92,122317.11,0.010000000000000009,2026-07-07 00:00:00+00:00,2026-07-08 00:00:00+00:00,0.37,0.375,1,50.0,100.0
kalshi:KXFEDDECISION-26JUL-C26,32,KXFEDDECISION-26JUL-C26,KXFEDDECISION-26JUL,KXFEDDECISION,Will the Federal Reserve Cut rates by >25bps at their July 2026 meeting?,Cut >25bps,Cut >25bps,Cut >25bps,"If the Federal Reserve does a Cut of   25bps on July 29, 2026, then the market resolves to Yes.",Fed decision in July?,"On Jul 29, 2026",Fed meeting,Economics,custom,finalized,no,2025-09-29 14:00:00+00:00,2026-07-29 17:59:00+00:00,1,1,1,2330631.58,303.1659722222222,1759154400,1785347940,305,284,1759204800.0,1785297600.0,success,284,284,284,87,284,2129702.84,1969208.25,0.05380281690140845,2025-09-30 00:00:00+00:00,2026-07-29 00:00:00+00:00,0.01,0.005,0,93.11475409836065,100.0
kalshi:KXRT-SPI-90,33,KXRT-SPI-90,KXRT-SPI,KXRT,Spider-Man: Brand New Day Rotten Tomatoes score?,Above 90,Above 90,Above 90,"If Spider-Man: Brand New Day has a Tomatometer score of above 90 on Aug 3, 2026 at 10:00 AM ET, then the market resolves to Yes.",Spider-Man: Brand New Day: Rotten Tomatoes score,Spider-Man: Brand New Day,Rotten Tomatoes Scores,Entertainment,custom,finalized,no,2026-04-16 17:00:00+00:00,2026-08-03 14:00:00+00:00,1,1,1,2231936.34,108.875,1776358800,1785765600,110,109,1776398400.0,1785729600.0,success,109,109,109,109,109,1952167.73,1095433.44,0.038899082568807336,2026-04-17 00:00:00+00:00,2026-08-03 00:00:00+00:00,0.04,0.035,0,99.0909090909091,100.0
